AppID,Name,Reviews
570,Dota 2,10327
12210,Grand Theft Auto IV: The Complete Edition,5956
113400,APB Reloaded,5042
208650,Batman™: Arkham Knight,7249
218620,PAYDAY 2,26953
221100,DayZ,30003
227940,Heroes & Generals,11964
247730,Nether: Resurrected,5311
252490,Rust,16005
253710,theHunter Classic,5657
271590,Grand Theft Auto V,10913
273350,Evolve Stage 2,5798
275850,No Man's Sky,8450
301520,Robocraft,12556
311210,Call of Duty®: Black Ops III,10417
346110,ARK: Survival Evolved,7195
365590,Tom Clancy’s The Division™,5563
381210,Dead by Daylight,6454
433850,Z1 Battle Royale,5635
